ZONA,ESTADO,QUANTIDADE,LATITUDE,LONGITUDE
RURAL,ACRE,2191.0,-8.931375, -69.878677
RURAL,AMAPA,63.0,1.212721,-51.750741
RURAL,AMAZONAS,2949.0,-4.431447,-64.037467
RURAL,PARA,1234.0,-4.936415 ,-52.634481
RURAL,RIO GRANDE DO SUL,1276.0,-29.6662992,-52.79969764
RURAL,RONDONIA,285.0,-10.712806 ,-62.961608
RURAL,RORAIMA,254.0,1.983426 ,-61.235080
RURAL,SANTA CATARINA,397.0,-27.079767 ,-50.675054
RURAL,TOCANTINS,339.0,-9.942695 ,-48.275136
