COD_ESTADO,ESTADO,ID,QUANTIDADE,LATITUDE,LONGITUDE
12,ACRE,0,22.0,-8.931375, -69.878677
16,AMAPA,0,2.0,1.212721,-51.750741
13,AMAZONAS,0,77.0,-4.431447,-64.037467
15,PARA,0,23.0,-4.936415 ,-52.634481
43,RIO GRANDE DO SUL,0,4.0,-29.6662992,-52.79969764
11,RONDONIA,0,4.0,-10.712806 ,-62.961608
14,RORAIMA,0,2.0,1.983426 ,-61.235080
42,SANTA CATARINA,0,12.0,-27.079767 ,-50.675054
17,TOCANTINS,0,2.0,-9.942695 ,-48.275136
